id	sex	birthyear
W001_2001_F	1	2001
W002_2001_M	2	2001
W003_2001_M	2	2001
W004_2001_M	2	2001
W005_2001_M	2	2001
W006_2001_F	1	2001
W007_2001_F	1	2001
W008_2001_M	2	2001
W009_2001_F	1	2001
W010_2001_F	1	2001
W011_2001_F	1	2001
W012_2001_F	1	2001
W013_2001_F	1	2001
W014_2001_F	1	2001
W015_2001_F	1	2001
W016_2001_F	1	2001
W017_2001_M	2	2001
W018_2001_M	2	2001
W019_2001_M	2	2001
W020_2001_M	2	2001
W021_2001_M	2	2001
W022_2001_M	2	2001
W023_2001_M	2	2001
W024_2001_F	1	2001
W025_2001_F	1	2001
W026_2002_M	2	2002
W027_2002_F	1	2002
W028_2002_M	2	2002
W029_2002_F	1	2002
W030_2002_F	1	2002
W031_2002_F	1	2002
W032_2002_M	2	2002
W033_2002_M	2	2002
W034_2002_M	2	2002
W035_2002_M	2	2002
W036_2002_F	1	2002
W037_2002_M	2	2002
W038_2002_M	2	2002
W039_2002_F	1	2002
W040_2002_F	1	2002
W041_2002_F	1	2002
W042_2002_F	1	2002
W043_2002_M	2	2002
W044_2002_M	2	2002
W045_2002_F	1	2002
W046_2002_F	1	2002
W047_2002_F	1	2002
W048_2002_F	1	2002
W049_2002_M	2	2002
W050_2002_F	1	2002
W051_2003_F	1	2003
W052_2003_F	1	2003
W053_2003_M	2	2003
W054_2003_F	1	2003
W055_2003_M	2	2003
W056_2003_M	2	2003
W057_2003_M	2	2003
W058_2003_M	2	2003
W059_2003_M	2	2003
W060_2003_F	1	2003
W061_2003_F	1	2003
W062_2003_M	2	2003
W063_2003_M	2	2003
W064_2003_F	1	2003
W065_2003_F	1	2003
W066_2003_M	2	2003
W067_2003_M	2	2003
W068_2003_M	2	2003
W069_2003_M	2	2003
W070_2003_F	1	2003
W071_2003_F	1	2003
W072_2003_F	1	2003
W073_2003_M	2	2003
W074_2003_M	2	2003
W075_2003_F	1	2003
W076_2004_F	1	2004
W077_2004_F	1	2004
W078_2004_F	1	2004
W079_2004_M	2	2004
W080_2004_M	2	2004
W081_2004_M	2	2004
W082_2004_M	2	2004
W083_2004_F	1	2004
W084_2004_M	2	2004
W085_2004_F	1	2004
W086_2004_F	1	2004
W087_2004_F	1	2004
W088_2004_F	1	2004
W089_2004_M	2	2004
W090_2004_F	1	2004
W091_2004_F	1	2004
W092_2004_F	1	2004
W093_2004_M	2	2004
W094_2004_M	2	2004
W095_2004_F	1	2004
W096_2004_M	2	2004
W097_2004_M	2	2004
W098_2004_M	2	2004
W099_2004_M	2	2004
W100_2004_F	1	2004
W101_2005_M	2	2005
W102_2005_M	2	2005
W103_2005_F	1	2005
W104_2005_M	2	2005
W105_2005_M	2	2005
W106_2005_M	2	2005
W107_2005_M	2	2005
W108_2005_F	1	2005
W109_2005_F	1	2005
W110_2005_F	1	2005
W111_2005_M	2	2005
W112_2005_M	2	2005
W113_2005_M	2	2005
W114_2005_M	2	2005
W115_2005_M	2	2005
W116_2005_M	2	2005
W117_2005_F	1	2005
W118_2005_F	1	2005
W119_2005_M	2	2005
W120_2005_M	2	2005
W121_2005_F	1	2005
W122_2005_F	1	2005
W123_2005_M	2	2005
W124_2005_F	1	2005
W125_2005_F	1	2005
W126_2006_F	1	2006
W127_2006_F	1	2006
W128_2006_F	1	2006
W129_2006_M	2	2006
W130_2006_M	2	2006
W131_2006_M	2	2006
W132_2006_M	2	2006
W133_2006_M	2	2006
W134_2006_F	1	2006
W135_2006_F	1	2006
W136_2006_M	2	2006
W137_2006_F	1	2006
W138_2006_F	1	2006
W139_2006_M	2	2006
W140_2006_M	2	2006
W141_2006_M	2	2006
W142_2006_F	1	2006
W143_2006_F	1	2006
W144_2006_M	2	2006
W145_2006_M	2	2006
W146_2006_M	2	2006
W147_2006_F	1	2006
W148_2006_M	2	2006
W149_2006_F	1	2006
W150_2006_M	2	2006
W151_2007_F	1	2007
W152_2007_M	2	2007
W153_2007_F	1	2007
W154_2007_F	1	2007
W155_2007_F	1	2007
W156_2007_M	2	2007
W157_2007_M	2	2007
W158_2007_M	2	2007
W159_2007_M	2	2007
W160_2007_M	2	2007
W161_2007_M	2	2007
W162_2007_M	2	2007
W163_2007_M	2	2007
W164_2007_M	2	2007
W165_2007_M	2	2007
W166_2007_M	2	2007
W167_2007_F	1	2007
W168_2007_F	1	2007
W169_2007_M	2	2007
W170_2007_M	2	2007
W171_2007_M	2	2007
W172_2007_F	1	2007
W173_2007_F	1	2007
W174_2007_M	2	2007
W175_2007_M	2	2007
W176_2008_F	1	2008
W177_2008_F	1	2008
W178_2008_F	1	2008
W179_2008_M	2	2008
W180_2008_F	1	2008
W181_2008_F	1	2008
W182_2008_M	2	2008
W183_2008_M	2	2008
W184_2008_M	2	2008
W185_2008_M	2	2008
W186_2008_M	2	2008
W187_2008_F	1	2008
W188_2008_F	1	2008
W189_2008_M	2	2008
W190_2008_F	1	2008
W191_2008_M	2	2008
W192_2008_F	1	2008
W193_2008_M	2	2008
W194_2008_F	1	2008
W195_2008_F	1	2008
W196_2008_M	2	2008
W197_2008_F	1	2008
W198_2008_M	2	2008
W199_2008_M	2	2008
W200_2008_F	1	2008
W201_2009_F	1	2009
W202_2009_M	2	2009
W203_2009_M	2	2009
W204_2009_F	1	2009
W205_2009_F	1	2009
W206_2009_M	2	2009
W207_2009_F	1	2009
W208_2009_M	2	2009
W209_2009_F	1	2009
W210_2009_M	2	2009
W211_2009_M	2	2009
W212_2009_F	1	2009
W213_2009_F	1	2009
W214_2009_M	2	2009
W215_2009_M	2	2009
W216_2009_F	1	2009
W217_2009_F	1	2009
W218_2009_F	1	2009
W219_2009_F	1	2009
W220_2009_M	2	2009
W221_2009_M	2	2009
W222_2009_F	1	2009
W223_2009_M	2	2009
W224_2009_M	2	2009
W225_2009_F	1	2009
W226_2010_M	2	2010
W227_2010_M	2	2010
W228_2010_M	2	2010
W229_2010_F	1	2010
W230_2010_F	1	2010
W231_2010_M	2	2010
W232_2010_M	2	2010
W233_2010_F	1	2010
W234_2010_M	2	2010
W235_2010_F	1	2010
W236_2010_M	2	2010
W237_2010_M	2	2010
W238_2010_F	1	2010
W239_2010_M	2	2010
W240_2010_M	2	2010
W241_2010_M	2	2010
W242_2010_M	2	2010
W243_2010_F	1	2010
W244_2010_F	1	2010
W245_2010_F	1	2010
W246_2010_F	1	2010
W247_2010_F	1	2010
W248_2010_F	1	2010
W249_2010_M	2	2010
W250_2010_M	2	2010
W251_2011_M	2	2011
W252_2011_F	1	2011
W253_2011_M	2	2011
W254_2011_F	1	2011
W255_2011_F	1	2011
W256_2011_F	1	2011
W257_2011_F	1	2011
W258_2011_F	1	2011
W259_2011_M	2	2011
W260_2011_F	1	2011
W261_2011_F	1	2011
W262_2011_M	2	2011
W263_2011_M	2	2011
W264_2011_M	2	2011
W265_2011_M	2	2011
W266_2011_M	2	2011
W267_2011_F	1	2011
W268_2011_M	2	2011
W269_2011_M	2	2011
W270_2011_F	1	2011
W271_2011_F	1	2011
W272_2011_M	2	2011
W273_2011_F	1	2011
W274_2011_F	1	2011
W275_2011_M	2	2011
W276_2012_M	2	2012
W277_2012_F	1	2012
