id	dam	sire	birthyear	sex
W001_2001_F	NA	NA	2001	1
W002_2001_M	NA	NA	2001	2
W003_2001_M	NA	NA	2001	2
W004_2001_M	NA	NA	2001	2
W005_2001_M	NA	NA	2001	2
W006_2001_F	NA	NA	2001	1
W007_2001_F	NA	NA	2001	1
W008_2001_M	NA	NA	2001	2
W009_2001_F	NA	NA	2001	1
W010_2001_F	NA	NA	2001	1
W011_2001_F	NA	NA	2001	1
W012_2001_F	NA	NA	2001	1
W013_2001_F	NA	NA	2001	1
W014_2001_F	NA	NA	2001	1
W015_2001_F	NA	NA	2001	1
W016_2001_F	NA	NA	2001	1
W017_2001_M	NA	NA	2001	2
W018_2001_M	NA	NA	2001	2
W019_2001_M	NA	NA	2001	2
W020_2001_M	NA	NA	2001	2
W021_2001_M	NA	NA	2001	2
W022_2001_M	NA	NA	2001	2
W023_2001_M	NA	NA	2001	2
W024_2001_F	NA	NA	2001	1
W025_2001_F	NA	NA	2001	1
W026_2002_M	NA	NA	2002	2
W027_2002_F	NA	NA	2002	1
W028_2002_M	NA	NA	2002	2
W029_2002_F	NA	NA	2002	1
W030_2002_F	W013_2001_F	W004_2001_M	2002	1
W031_2002_F	NA	NA	2002	1
W032_2002_M	NA	NA	2002	2
W033_2002_M	NA	NA	2002	2
W034_2002_M	NA	NA	2002	2
W035_2002_M	NA	NA	2002	2
W036_2002_F	NA	NA	2002	1
W037_2002_M	NA	NA	2002	2
W038_2002_M	NA	NA	2002	2
W039_2002_F	NA	NA	2002	1
W040_2002_F	NA	NA	2002	1
W041_2002_F	NA	NA	2002	1
W042_2002_F	NA	NA	2002	1
W043_2002_M	NA	NA	2002	2
W044_2002_M	NA	NA	2002	2
W045_2002_F	W010_2001_F	W020_2001_M	2002	1
W046_2002_F	NA	NA	2002	1
W047_2002_F	NA	NA	2002	1
W048_2002_F	NA	NA	2002	1
W049_2002_M	NA	NA	2002	2
W050_2002_F	NA	NA	2002	1
W051_2003_F	NA	NA	2003	1
W052_2003_F	NA	NA	2003	1
W053_2003_M	NA	NA	2003	2
