id dam sire mtHap
ABA14 HIA09 ZAPHO 144
ABA16 HIA09 STERN 144
ABA17 HIA09 STERN 144
ABA19 HIA09 DUB09 144
ABA20 HIA09 DUB09 144
ABA21 HIA09 SHOBO 144
ABS04 IVO99 DSA07 147
ABS06 IVO99 EGR93 147
ABS08 IVO99 IVY96 147
ABS11 IVO99 PCN06 147
ABS14 IVO99 SPD01 147
FRO98 BIL84 BASIL 150
KIL83 BUL71 TER75 144
ADI20 QTZ16 RDD13 147
ADI21 QTZ16 RUNAW 147
ADZ85 MOY74 TER75 155
AGO20 CPY16 WSD11 147
FRT05 BUT96 FRA96 144
FRT06 BUT96 TNG95 144
ALB91 FUL87 BAR82 153
ALB92 FUL87 VER84 153
ALB93 FUL87 CHE82 153
ALB94 FUL87 FIL86 153
ALB95 FUL87 FIL86 153
ALB97 FUL87 PEP85 153
FTH10 WSD00 MOU02 135
FUL83 MAW79 GROWT 153
PPT18 WAG06 JAD12 151
KKA18 WAL11 WHF12 147
FUL87 MAW79 MEL79 153
FUL89 MAW79 RED77 153
FUL90 MAW79 MEL79 153
FUL91 MAW79 CHE82 153
FUL93 MAW79 CHE82 153
FUL94 MAW79 SOR84 153
PRA92 TER84 CHE82 151
FVA17 DUB11 MOU09 143
PRC05 TRT98 ZUC96 138
ALL11 PUF06 FLG00 153
ALL13 PUF06 MOZ02 153
ALL15 PUF06 FRT05 153
ALL16 PUF06 MOZ02 153
ALL17 PUF06 JAE05 153
GAL90 POL77 CHE82 144
PRD19 JAD13 WSD11 143
ALL21 PUF06 EDD15 153
ALO18 CRX14 IOLOO 143
GAN04 SUL94 CSK93 151
AMC16 USS12 JAE05 147
GAN06 SUL94 AIDAN 151
GAN97 SUL94 SLT86 151
GAN98 SUL94 SKA85 151
GAN99 SUL94 EGR88 151
CAP88 SNI77 ROCKY 140
PRL17 SAP12 WSD11 143
PRL18 SAP12 TTL06 143
GEM83 POL79 BST74 144
AML20 DAW12 WSD11 147
GEM88 POL79 TIT79 144
ANK87 KIL82 YTA77 144
ANK90 KIL82 VER81 144
GEN03 SAX98 CLT95 138
ANK92 KIL82 VER81 144
ANM02 BAC98 EGR93 144
ANM03 BAC98 CSK95 144
ANM04 BAC98 AIDAN 144
ANM06 BAC98 DOC95 144
ANT00 COQ94 OAT89 130
ANT97 COQ94 ATH91 130
APA04 SEQ99 BNX96 147
APA05 SEQ99 IVY96 147
PSS14 CND06 SPD01 140
APA08 SEQ99 KNO99 147
APA10 SEQ99 BRAVO 147
APA12 SEQ99 CLW00 147
APA13 SEQ99 FRT03 147
GIS21 ELK18 GLR09 140
PTL02 MNX89 SOL94 153
APH92 THO86 LAM86 132
GKG10 CED04 RUSTY 147
PTL96 MNX89 MEL86 153
PTL97 MNX89 SCI87 153
GLE16 SML13 TTL06 143
GLE18 SML13 GLR09 143
GLE20 SML13 WSD11 143
GLI04 HON00 ATH91 138
GLI06 HON00 FRO95 138
APO15 CHY12 HUGHE 147
GLR07 LPA02 TNG97 143
GLR09 LPA02 ZUC98 143
PUE15 NAV12 SEQ07 147
GLR14 LPA02 MRY02 143
ARA06 HED01 CEDRI 147
ARA07 HED01 KIT96 147
ARA09 HED01 FLG00 147
ARA10 HED01 MOZ03 147
ARA11 HED01 TRT02 147
ARA13 HED01 RUM04 147
ARA15 HED01 STERN 147
GNB10 SLO01 CLW00 147
GNB12 SLO01 ART00 147
PUF10 POM97 EID01 153
GOB02 CSK98 OCH92 144
GOB04 CSK98 WOD96 144
ARD04 ALD98 SYC97 132
ARE14 PCN10 STERN 147
ARE16 PCN10 STERN 147
ARE17 PCN10 STERN 147
GOD95 AVO90 LAM86 143
GOD96 AVO90 AVO84 143
GOD97 AVO90 INI85 143
GOD98 AVO90 BASIL 143
GOD99 AVO90 BASIL 143
QTZ16 TIC07 STERN 147
GRA00 FAN90 BASIL 130
GRA01 FAN90 TYS89 130
CER08 PRC02 PERCY 138
GRA03 FAN90 KKONG 130
ASB09 HOO05 FRT02 143
ASB10 HOO05 MOU02 143
ASB12 HOO05 RUSTY 143
ASB13 HOO05 SPD01 143
ASB14 HOO05 SPD01 143
ASB15 HOO05 ZAPHO 143
ASB16 HOO05 ZAPHO 143
ASB18 HOO05 TONKS 143
GRA99 FAN90 BASIL 130
ASP83 TOR72 SOO72 151
AST89 GAL85 AVO84 144
AST90 GAL85 VER81 144
AST91 GAL85 SOR84 144
AST93 GAL85 RHY84 144
AST94 GAL85 CHE82 144
AST95 GAL85 CRAGS 144
ATA10 VNS06 STUAR 144
ATH89 THO81 RHY82 132
GYP05 TIN00 TNG94 140
ATH94 THO81 SAF88 132
AUK17 ALL13 DUB09 153
RAS14 MTT08 ZAPHO 130
AVO82 UPT78 CLE72 143
AVO83 UPT78 CHE75 143
AVO84 UPT78 ROCKY 143
AVO85 UPT78 ROCKY 143
